id,country_id,state_key,name,code
1,140,01,AGUASCALIENTES,AS
2,140,02,BAJA CALIFORNIA,BC
3,140,03,BAJA CALIFORNIA SUR,BS
4,140,04,CAMPECHE,CC
5,140,05,COAHUILA DE ZARAGOZA,CL
6,140,06,COLIMA,CM
7,140,07,CHIAPAS,CS
8,140,08,CHIHUAHUA,CH
9,140,09,CIUDAD DE MÉXICO,DF
10,140,10,DURANGO,DG
11,140,11,GUANAJUATO,GT
12,140,12,GUERRERO,GR
13,140,13,HIDALGO,HG
14,140,14,JALISCO,JC
15,140,15,MÉXICO,MC
16,140,16,MICHOACÁN DE OCAMPO,MN
17,140,17,MORELOS,MS
18,140,18,NAYARIT,NT
19,140,19,NUEVO LEÓN,NL
20,140,20,OAXACA,OC
21,140,21,PUEBLA,PL
22,140,22,QUERÉTARO,QT
23,140,23,QUINTANA ROO,QR
24,140,24,SAN LUIS POTOSÍ,SP
25,140,25,SINALOA,SL
26,140,26,SONORA,SR
27,140,27,TABASCO,TC
28,140,28,TAMAULIPAS,TS
29,140,29,TLAXCALA,TL
30,140,30,VERACRUZ DE IGNACIO DE LA LLAVE,VZ
31,140,31,YUCATÁN,YN
32,140,32,ZACATECAS,ZS
99,140,99,NO ESPECIFICADO,NO